,Source,Target
79,Volodymyr Zelensky,Joe Biden
80,Volodymyr Zelensky,Ben Wallace
81,Volodymyr Zelensky,Antonio Guterres
82,Volodymyr Zelensky,Vladimir Putin
83,Volodymyr Zelensky,Stephane Dujarric
84,Volodymyr Zelensky,Tayyip Erdogan
85,Volodymyr Zelensky,Vyacheslav Volodin
86,Volodymyr Zelensky,Emmanuelle Chaze
87,Volodymyr Zelensky,Dmitry Peskov
88,Volodymyr Zelensky,Kyrylo Budanov
89,Volodymyr Zelensky,Anthony Albanese
90,Volodymyr Zelensky,Olaf Scholz
91,Volodymyr Zelensky,Andriy Kovaliov
92,Volodymyr Zelensky,Amanda Sloat
93,Volodymyr Zelensky,Serhiy Popko
94,Volodymyr Zelensky,Dmitry Medvedev
95,Volodymyr Zelensky,Jake Sullivan
96,Joe Biden,Ben Wallace
97,Joe Biden,Antonio Guterres
98,Joe Biden,Vladimir Putin
99,Joe Biden,Stephane Dujarric
100,Joe Biden,Tayyip Erdogan
101,Joe Biden,Vyacheslav Volodin
102,Joe Biden,Emmanuelle Chaze
103,Joe Biden,Dmitry Peskov
104,Joe Biden,Kyrylo Budanov
105,Joe Biden,Anthony Albanese
106,Joe Biden,Olaf Scholz
107,Joe Biden,Andriy Kovaliov
108,Joe Biden,Amanda Sloat
109,Joe Biden,Serhiy Popko
110,Joe Biden,Dmitry Medvedev
111,Joe Biden,Jake Sullivan
112,Ben Wallace,Antonio Guterres
113,Ben Wallace,Vladimir Putin
114,Ben Wallace,Stephane Dujarric
115,Ben Wallace,Tayyip Erdogan
116,Ben Wallace,Vyacheslav Volodin
117,Ben Wallace,Emmanuelle Chaze
118,Ben Wallace,Dmitry Peskov
119,Ben Wallace,Kyrylo Budanov
120,Ben Wallace,Anthony Albanese
121,Ben Wallace,Olaf Scholz
122,Ben Wallace,Andriy Kovaliov
123,Ben Wallace,Amanda Sloat
124,Ben Wallace,Serhiy Popko
125,Ben Wallace,Dmitry Medvedev
126,Ben Wallace,Jake Sullivan
127,Antonio Guterres,Vladimir Putin
128,Antonio Guterres,Stephane Dujarric
129,Antonio Guterres,Tayyip Erdogan
130,Antonio Guterres,Vyacheslav Volodin
131,Antonio Guterres,Emmanuelle Chaze
132,Antonio Guterres,Dmitry Peskov
133,Antonio Guterres,Kyrylo Budanov
134,Antonio Guterres,Anthony Albanese
135,Antonio Guterres,Olaf Scholz
136,Antonio Guterres,Andriy Kovaliov
137,Antonio Guterres,Amanda Sloat
138,Antonio Guterres,Serhiy Popko
139,Antonio Guterres,Dmitry Medvedev
140,Antonio Guterres,Jake Sullivan
141,Vladimir Putin,Stephane Dujarric
142,Vladimir Putin,Tayyip Erdogan
143,Vladimir Putin,Vyacheslav Volodin
144,Vladimir Putin,Emmanuelle Chaze
145,Vladimir Putin,Dmitry Peskov
146,Vladimir Putin,Kyrylo Budanov
147,Vladimir Putin,Anthony Albanese
148,Vladimir Putin,Olaf Scholz
149,Vladimir Putin,Andriy Kovaliov
150,Vladimir Putin,Amanda Sloat
151,Vladimir Putin,Serhiy Popko
152,Vladimir Putin,Dmitry Medvedev
153,Vladimir Putin,Jake Sullivan
154,Stephane Dujarric,Tayyip Erdogan
155,Stephane Dujarric,Vyacheslav Volodin
156,Stephane Dujarric,Emmanuelle Chaze
157,Stephane Dujarric,Dmitry Peskov
158,Stephane Dujarric,Kyrylo Budanov
159,Stephane Dujarric,Anthony Albanese
160,Stephane Dujarric,Olaf Scholz
161,Stephane Dujarric,Andriy Kovaliov
162,Stephane Dujarric,Amanda Sloat
163,Stephane Dujarric,Serhiy Popko
164,Stephane Dujarric,Dmitry Medvedev
165,Stephane Dujarric,Jake Sullivan
166,Tayyip Erdogan,Vyacheslav Volodin
167,Tayyip Erdogan,Emmanuelle Chaze
168,Tayyip Erdogan,Dmitry Peskov
169,Tayyip Erdogan,Kyrylo Budanov
170,Tayyip Erdogan,Anthony Albanese
171,Tayyip Erdogan,Olaf Scholz
172,Tayyip Erdogan,Andriy Kovaliov
173,Tayyip Erdogan,Amanda Sloat
174,Tayyip Erdogan,Serhiy Popko
175,Tayyip Erdogan,Dmitry Medvedev
176,Tayyip Erdogan,Jake Sullivan
177,Vyacheslav Volodin,Emmanuelle Chaze
178,Vyacheslav Volodin,Dmitry Peskov
179,Vyacheslav Volodin,Kyrylo Budanov
180,Vyacheslav Volodin,Anthony Albanese
181,Vyacheslav Volodin,Olaf Scholz
182,Vyacheslav Volodin,Andriy Kovaliov
183,Vyacheslav Volodin,Amanda Sloat
184,Vyacheslav Volodin,Serhiy Popko
185,Vyacheslav Volodin,Dmitry Medvedev
186,Vyacheslav Volodin,Jake Sullivan
187,Emmanuelle Chaze,Dmitry Peskov
188,Emmanuelle Chaze,Kyrylo Budanov
189,Emmanuelle Chaze,Anthony Albanese
190,Emmanuelle Chaze,Olaf Scholz
191,Emmanuelle Chaze,Andriy Kovaliov
192,Emmanuelle Chaze,Amanda Sloat
193,Emmanuelle Chaze,Serhiy Popko
194,Emmanuelle Chaze,Dmitry Medvedev
195,Emmanuelle Chaze,Jake Sullivan
196,Dmitry Peskov,Kyrylo Budanov
197,Dmitry Peskov,Anthony Albanese
198,Dmitry Peskov,Olaf Scholz
199,Dmitry Peskov,Andriy Kovaliov
200,Dmitry Peskov,Amanda Sloat
201,Dmitry Peskov,Serhiy Popko
202,Dmitry Peskov,Dmitry Medvedev
203,Dmitry Peskov,Jake Sullivan
204,Kyrylo Budanov,Anthony Albanese
205,Kyrylo Budanov,Olaf Scholz
206,Kyrylo Budanov,Andriy Kovaliov
207,Kyrylo Budanov,Amanda Sloat
208,Kyrylo Budanov,Serhiy Popko
209,Kyrylo Budanov,Dmitry Medvedev
210,Kyrylo Budanov,Jake Sullivan
211,Anthony Albanese,Olaf Scholz
212,Anthony Albanese,Andriy Kovaliov
213,Anthony Albanese,Amanda Sloat
214,Anthony Albanese,Serhiy Popko
215,Anthony Albanese,Dmitry Medvedev
216,Anthony Albanese,Jake Sullivan
217,Olaf Scholz,Andriy Kovaliov
218,Olaf Scholz,Amanda Sloat
219,Olaf Scholz,Serhiy Popko
220,Olaf Scholz,Dmitry Medvedev
221,Olaf Scholz,Jake Sullivan
222,Andriy Kovaliov,Amanda Sloat
223,Andriy Kovaliov,Serhiy Popko
224,Andriy Kovaliov,Dmitry Medvedev
225,Andriy Kovaliov,Jake Sullivan
226,Amanda Sloat,Serhiy Popko
227,Amanda Sloat,Dmitry Medvedev
228,Amanda Sloat,Jake Sullivan
229,Serhiy Popko,Dmitry Medvedev
230,Serhiy Popko,Jake Sullivan
231,Dmitry Medvedev,Jake Sullivan
232,Chau Van Kham,Anthony Albanese
233,Antony Blinken,Wang Yi
234,Antony Blinken,Retno Marsudi
235,Antony Blinken,Asean Yohannes Abraham
236,Antony Blinken,Penny Wong
237,Antony Blinken,Anthony Albanese
238,Antony Blinken,Suu Kyi
239,Antony Blinken,Josep Borrell
240,Antony Blinken,Don Pramudwinai
241,Antony Blinken,Sergei Lavrov
242,Wang Yi,Retno Marsudi
243,Wang Yi,Asean Yohannes Abraham
244,Wang Yi,Penny Wong
245,Wang Yi,Anthony Albanese
246,Wang Yi,Suu Kyi
247,Wang Yi,Josep Borrell
248,Wang Yi,Don Pramudwinai
249,Wang Yi,Sergei Lavrov
250,Retno Marsudi,Asean Yohannes Abraham
251,Retno Marsudi,Penny Wong
252,Retno Marsudi,Anthony Albanese
253,Retno Marsudi,Suu Kyi
254,Retno Marsudi,Josep Borrell
255,Retno Marsudi,Don Pramudwinai
256,Retno Marsudi,Sergei Lavrov
257,Asean Yohannes Abraham,Penny Wong
258,Asean Yohannes Abraham,Anthony Albanese
259,Asean Yohannes Abraham,Suu Kyi
260,Asean Yohannes Abraham,Josep Borrell
261,Asean Yohannes Abraham,Don Pramudwinai
262,Asean Yohannes Abraham,Sergei Lavrov
263,Penny Wong,Anthony Albanese
264,Penny Wong,Suu Kyi
265,Penny Wong,Josep Borrell
266,Penny Wong,Don Pramudwinai
267,Penny Wong,Sergei Lavrov
268,Anthony Albanese,Suu Kyi
269,Anthony Albanese,Josep Borrell
270,Anthony Albanese,Don Pramudwinai
271,Anthony Albanese,Sergei Lavrov
272,Suu Kyi,Josep Borrell
273,Suu Kyi,Don Pramudwinai
274,Suu Kyi,Sergei Lavrov
275,Josep Borrell,Don Pramudwinai
276,Josep Borrell,Sergei Lavrov
277,Don Pramudwinai,Sergei Lavrov
278,Rodong Sinmun,Matsuno Hirokazu
279,Rodong Sinmun,Kishida Fumio
280,Rodong Sinmun,Anthony Albanese
281,Rodong Sinmun,Chris Hipkins
282,Matsuno Hirokazu,Kishida Fumio
283,Matsuno Hirokazu,Anthony Albanese
284,Matsuno Hirokazu,Chris Hipkins
285,Kishida Fumio,Anthony Albanese
286,Kishida Fumio,Chris Hipkins
287,Anthony Albanese,Chris Hipkins
288,Linda Burney,Richard Marles
289,Linda Burney,Dorinda Cox
290,Linda Burney,Tony Buti
291,Linda Burney,Thomas Mayo
292,Linda Burney,Danny Brown
293,Linda Burney,Anthony Albanese
294,Linda Burney,Australiafrom Europe
295,Richard Marles,Dorinda Cox
296,Richard Marles,Tony Buti
297,Richard Marles,Thomas Mayo
298,Richard Marles,Danny Brown
299,Richard Marles,Anthony Albanese
300,Richard Marles,Australiafrom Europe
301,Dorinda Cox,Tony Buti
302,Dorinda Cox,Thomas Mayo
303,Dorinda Cox,Danny Brown
304,Dorinda Cox,Anthony Albanese
305,Dorinda Cox,Australiafrom Europe
306,Tony Buti,Thomas Mayo
307,Tony Buti,Danny Brown
308,Tony Buti,Anthony Albanese
309,Tony Buti,Australiafrom Europe
310,Thomas Mayo,Danny Brown
311,Thomas Mayo,Anthony Albanese
312,Thomas Mayo,Australiafrom Europe
313,Danny Brown,Anthony Albanese
314,Danny Brown,Australiafrom Europe
315,Anthony Albanese,Australiafrom Europe
316,Lidia Thorpe,Celeste Liddle
317,Lidia Thorpe,Matthew Sheahan
318,Lidia Thorpe,Jeremy Rockliff
319,Lidia Thorpe,Jonathon Duniam
320,Lidia Thorpe,Kerrynne Liddle
321,Lidia Thorpe,Anthony Albanese
322,Lidia Thorpe,Peter Dutton
323,Lidia Thorpe,Axel Bruns
324,Celeste Liddle,Matthew Sheahan
325,Celeste Liddle,Jeremy Rockliff
326,Celeste Liddle,Jonathon Duniam
327,Celeste Liddle,Kerrynne Liddle
328,Celeste Liddle,Anthony Albanese
329,Celeste Liddle,Peter Dutton
330,Celeste Liddle,Axel Bruns
331,Matthew Sheahan,Jeremy Rockliff
332,Matthew Sheahan,Jonathon Duniam
333,Matthew Sheahan,Kerrynne Liddle
334,Matthew Sheahan,Anthony Albanese
335,Matthew Sheahan,Peter Dutton
336,Matthew Sheahan,Axel Bruns
337,Jeremy Rockliff,Jonathon Duniam
338,Jeremy Rockliff,Kerrynne Liddle
339,Jeremy Rockliff,Anthony Albanese
340,Jeremy Rockliff,Peter Dutton
341,Jeremy Rockliff,Axel Bruns
342,Jonathon Duniam,Kerrynne Liddle
343,Jonathon Duniam,Anthony Albanese
344,Jonathon Duniam,Peter Dutton
345,Jonathon Duniam,Axel Bruns
346,Kerrynne Liddle,Anthony Albanese
347,Kerrynne Liddle,Peter Dutton
348,Kerrynne Liddle,Axel Bruns
349,Anthony Albanese,Peter Dutton
350,Anthony Albanese,Axel Bruns
351,Peter Dutton,Axel Bruns
352,Chau Van Kham,Anthony Albanese
353,Anthony Albanese,Jim Chalmers
354,Anthony Albanese,Philip Lowe
355,Anthony Albanese,Michele Bullock
356,Anthony Albanese,Deputy Governorof
357,Anthony Albanese,Steven Kennedy
358,Anthony Albanese,Julia Gillard
359,Anthony Albanese,Jenny Wilkinson
360,Anthony Albanese,David Gruen
361,Anthony Albanese,Martin Parkinson
362,Anthony Albanese,Carolyn Wilkins
363,Anthony Albanese,Praveen Menon
364,Anthony Albanese,Muralikumar Anantharaman
365,Anthony Albanese,Wayne Cole
366,Jim Chalmers,Philip Lowe
367,Jim Chalmers,Michele Bullock
368,Jim Chalmers,Deputy Governorof
369,Jim Chalmers,Steven Kennedy
370,Jim Chalmers,Julia Gillard
371,Jim Chalmers,Jenny Wilkinson
372,Jim Chalmers,David Gruen
373,Jim Chalmers,Martin Parkinson
374,Jim Chalmers,Carolyn Wilkins
375,Jim Chalmers,Praveen Menon
376,Jim Chalmers,Muralikumar Anantharaman
377,Jim Chalmers,Wayne Cole
378,Philip Lowe,Michele Bullock
379,Philip Lowe,Deputy Governorof
380,Philip Lowe,Steven Kennedy
381,Philip Lowe,Julia Gillard
382,Philip Lowe,Jenny Wilkinson
383,Philip Lowe,David Gruen
384,Philip Lowe,Martin Parkinson
385,Philip Lowe,Carolyn Wilkins
386,Philip Lowe,Praveen Menon
387,Philip Lowe,Muralikumar Anantharaman
388,Philip Lowe,Wayne Cole
389,Michele Bullock,Deputy Governorof
390,Michele Bullock,Steven Kennedy
391,Michele Bullock,Julia Gillard
392,Michele Bullock,Jenny Wilkinson
393,Michele Bullock,David Gruen
394,Michele Bullock,Martin Parkinson
395,Michele Bullock,Carolyn Wilkins
396,Michele Bullock,Praveen Menon
397,Michele Bullock,Muralikumar Anantharaman
398,Michele Bullock,Wayne Cole
399,Deputy Governorof,Steven Kennedy
400,Deputy Governorof,Julia Gillard
401,Deputy Governorof,Jenny Wilkinson
402,Deputy Governorof,David Gruen
403,Deputy Governorof,Martin Parkinson
404,Deputy Governorof,Carolyn Wilkins
405,Deputy Governorof,Praveen Menon
406,Deputy Governorof,Muralikumar Anantharaman
407,Deputy Governorof,Wayne Cole
408,Steven Kennedy,Julia Gillard
409,Steven Kennedy,Jenny Wilkinson
410,Steven Kennedy,David Gruen
411,Steven Kennedy,Martin Parkinson
412,Steven Kennedy,Carolyn Wilkins
413,Steven Kennedy,Praveen Menon
414,Steven Kennedy,Muralikumar Anantharaman
415,Steven Kennedy,Wayne Cole
416,Julia Gillard,Jenny Wilkinson
417,Julia Gillard,David Gruen
418,Julia Gillard,Martin Parkinson
419,Julia Gillard,Carolyn Wilkins
420,Julia Gillard,Praveen Menon
421,Julia Gillard,Muralikumar Anantharaman
422,Julia Gillard,Wayne Cole
423,Jenny Wilkinson,David Gruen
424,Jenny Wilkinson,Martin Parkinson
425,Jenny Wilkinson,Carolyn Wilkins
426,Jenny Wilkinson,Praveen Menon
427,Jenny Wilkinson,Muralikumar Anantharaman
428,Jenny Wilkinson,Wayne Cole
429,David Gruen,Martin Parkinson
430,David Gruen,Carolyn Wilkins
431,David Gruen,Praveen Menon
432,David Gruen,Muralikumar Anantharaman
433,David Gruen,Wayne Cole
434,Martin Parkinson,Carolyn Wilkins
435,Martin Parkinson,Praveen Menon
436,Martin Parkinson,Muralikumar Anantharaman
437,Martin Parkinson,Wayne Cole
438,Carolyn Wilkins,Praveen Menon
439,Carolyn Wilkins,Muralikumar Anantharaman
440,Carolyn Wilkins,Wayne Cole
441,Praveen Menon,Muralikumar Anantharaman
442,Praveen Menon,Wayne Cole
443,Muralikumar Anantharaman,Wayne Cole
444,Philip Lowe,Anthony Albanese
445,Philip Lowe,Jim Chalmers
446,Philip Lowe,Michele Bullock
447,Philip Lowe,Steven Kennedy
448,Philip Lowe,Jenny Wilkinson
449,Philip Lowe,Richard Marles
450,Philip Lowe,Karl Stefanovic
451,Philip Lowe,Peter Dutton
452,Philip Lowe,Phil Lowe
453,Philip Lowe,Martin Ollman
454,Philip Lowe,Michelle Bullock
455,Anthony Albanese,Jim Chalmers
456,Anthony Albanese,Michele Bullock
457,Anthony Albanese,Steven Kennedy
458,Anthony Albanese,Jenny Wilkinson
459,Anthony Albanese,Richard Marles
460,Anthony Albanese,Karl Stefanovic
461,Anthony Albanese,Peter Dutton
462,Anthony Albanese,Phil Lowe
463,Anthony Albanese,Martin Ollman
464,Anthony Albanese,Michelle Bullock
465,Jim Chalmers,Michele Bullock
466,Jim Chalmers,Steven Kennedy
467,Jim Chalmers,Jenny Wilkinson
468,Jim Chalmers,Richard Marles
469,Jim Chalmers,Karl Stefanovic
470,Jim Chalmers,Peter Dutton
471,Jim Chalmers,Phil Lowe
472,Jim Chalmers,Martin Ollman
473,Jim Chalmers,Michelle Bullock
474,Michele Bullock,Steven Kennedy
475,Michele Bullock,Jenny Wilkinson
476,Michele Bullock,Richard Marles
477,Michele Bullock,Karl Stefanovic
478,Michele Bullock,Peter Dutton
479,Michele Bullock,Phil Lowe
480,Michele Bullock,Martin Ollman
481,Michele Bullock,Michelle Bullock
482,Steven Kennedy,Jenny Wilkinson
483,Steven Kennedy,Richard Marles
484,Steven Kennedy,Karl Stefanovic
485,Steven Kennedy,Peter Dutton
486,Steven Kennedy,Phil Lowe
487,Steven Kennedy,Martin Ollman
488,Steven Kennedy,Michelle Bullock
489,Jenny Wilkinson,Richard Marles
490,Jenny Wilkinson,Karl Stefanovic
491,Jenny Wilkinson,Peter Dutton
492,Jenny Wilkinson,Phil Lowe
493,Jenny Wilkinson,Martin Ollman
494,Jenny Wilkinson,Michelle Bullock
495,Richard Marles,Karl Stefanovic
496,Richard Marles,Peter Dutton
497,Richard Marles,Phil Lowe
498,Richard Marles,Martin Ollman
499,Richard Marles,Michelle Bullock
500,Karl Stefanovic,Peter Dutton
501,Karl Stefanovic,Phil Lowe
502,Karl Stefanovic,Martin Ollman
503,Karl Stefanovic,Michelle Bullock
504,Peter Dutton,Phil Lowe
505,Peter Dutton,Martin Ollman
506,Peter Dutton,Michelle Bullock
507,Phil Lowe,Martin Ollman
508,Phil Lowe,Michelle Bullock
509,Martin Ollman,Michelle Bullock
510,Tanya Plibersek,Anthony Albanese
511,Tanya Plibersek,Deborah Bateson
512,Tanya Plibersek,Chuen Cheng
513,Anthony Albanese,Deborah Bateson
514,Anthony Albanese,Chuen Cheng
515,Deborah Bateson,Chuen Cheng
516,Tanya Plibersek,Anthony Albanese
517,Tanya Plibersek,Deborah Bateson
518,Tanya Plibersek,Chuen Cheng
519,Anthony Albanese,Deborah Bateson
520,Anthony Albanese,Chuen Cheng
521,Deborah Bateson,Chuen Cheng
522,Tanya Plibersek,Anthony Albanese
523,Tanya Plibersek,Deborah Bateson
524,Tanya Plibersek,Chuen Cheng
525,Anthony Albanese,Deborah Bateson
526,Anthony Albanese,Chuen Cheng
527,Deborah Bateson,Chuen Cheng
528,Michele Bullock,Philip Lowe
529,Michele Bullock,Anthony Albanese
530,Michele Bullock,Jim Chalmers
531,Philip Lowe,Anthony Albanese
532,Philip Lowe,Jim Chalmers
533,Anthony Albanese,Jim Chalmers
534,Philip Lowe,Anthony Albanese
535,Philip Lowe,Jim Chalmers
536,Philip Lowe,Michele Bullock
537,Philip Lowe,Steven Kennedy
538,Philip Lowe,Jenny Wilkinson
539,Philip Lowe,Richard Marles
540,Philip Lowe,Karl Stefanovic
541,Philip Lowe,Peter Dutton
542,Philip Lowe,Phil Lowe
543,Philip Lowe,Martin Ollman
544,Philip Lowe,Michelle Bullock
545,Anthony Albanese,Jim Chalmers
546,Anthony Albanese,Michele Bullock
547,Anthony Albanese,Steven Kennedy
548,Anthony Albanese,Jenny Wilkinson
549,Anthony Albanese,Richard Marles
550,Anthony Albanese,Karl Stefanovic
551,Anthony Albanese,Peter Dutton
552,Anthony Albanese,Phil Lowe
553,Anthony Albanese,Martin Ollman
554,Anthony Albanese,Michelle Bullock
555,Jim Chalmers,Michele Bullock
556,Jim Chalmers,Steven Kennedy
557,Jim Chalmers,Jenny Wilkinson
558,Jim Chalmers,Richard Marles
559,Jim Chalmers,Karl Stefanovic
560,Jim Chalmers,Peter Dutton
561,Jim Chalmers,Phil Lowe
562,Jim Chalmers,Martin Ollman
563,Jim Chalmers,Michelle Bullock
564,Michele Bullock,Steven Kennedy
565,Michele Bullock,Jenny Wilkinson
566,Michele Bullock,Richard Marles
567,Michele Bullock,Karl Stefanovic
568,Michele Bullock,Peter Dutton
569,Michele Bullock,Phil Lowe
570,Michele Bullock,Martin Ollman
571,Michele Bullock,Michelle Bullock
572,Steven Kennedy,Jenny Wilkinson
573,Steven Kennedy,Richard Marles
574,Steven Kennedy,Karl Stefanovic
575,Steven Kennedy,Peter Dutton
576,Steven Kennedy,Phil Lowe
577,Steven Kennedy,Martin Ollman
578,Steven Kennedy,Michelle Bullock
579,Jenny Wilkinson,Richard Marles
580,Jenny Wilkinson,Karl Stefanovic
581,Jenny Wilkinson,Peter Dutton
582,Jenny Wilkinson,Phil Lowe
583,Jenny Wilkinson,Martin Ollman
584,Jenny Wilkinson,Michelle Bullock
585,Richard Marles,Karl Stefanovic
586,Richard Marles,Peter Dutton
587,Richard Marles,Phil Lowe
588,Richard Marles,Martin Ollman
589,Richard Marles,Michelle Bullock
590,Karl Stefanovic,Peter Dutton
591,Karl Stefanovic,Phil Lowe
592,Karl Stefanovic,Martin Ollman
593,Karl Stefanovic,Michelle Bullock
594,Peter Dutton,Phil Lowe
595,Peter Dutton,Martin Ollman
596,Peter Dutton,Michelle Bullock
597,Phil Lowe,Martin Ollman
598,Phil Lowe,Michelle Bullock
599,Martin Ollman,Michelle Bullock
600,Philip Lowe,Gary Ramage
601,Philip Lowe,Jim Chalmer
602,Philip Lowe,Michele Bullock
603,Philip Lowe,Minster Anthony Albanese
604,Philip Lowe,Steven Kennedy
605,Philip Lowe,Jenny Wilkinson
606,Philip Lowe,Karen Barlow
607,Gary Ramage,Jim Chalmer
608,Gary Ramage,Michele Bullock
609,Gary Ramage,Minster Anthony Albanese
610,Gary Ramage,Steven Kennedy
611,Gary Ramage,Jenny Wilkinson
612,Gary Ramage,Karen Barlow
613,Jim Chalmer,Michele Bullock
614,Jim Chalmer,Minster Anthony Albanese
615,Jim Chalmer,Steven Kennedy
616,Jim Chalmer,Jenny Wilkinson
617,Jim Chalmer,Karen Barlow
618,Michele Bullock,Minster Anthony Albanese
619,Michele Bullock,Steven Kennedy
620,Michele Bullock,Jenny Wilkinson
621,Michele Bullock,Karen Barlow
622,Minster Anthony Albanese,Steven Kennedy
623,Minster Anthony Albanese,Jenny Wilkinson
624,Minster Anthony Albanese,Karen Barlow
625,Steven Kennedy,Jenny Wilkinson
626,Steven Kennedy,Karen Barlow
627,Jenny Wilkinson,Karen Barlow
628,Philip Lowe,Gary Ramage
629,Philip Lowe,Jim Chalmer
630,Philip Lowe,Michele Bullock
631,Philip Lowe,Minster Anthony Albanese
632,Philip Lowe,Steven Kennedy
633,Philip Lowe,Jenny Wilkinson
634,Philip Lowe,Karen Barlow
635,Gary Ramage,Jim Chalmer
636,Gary Ramage,Michele Bullock
637,Gary Ramage,Minster Anthony Albanese
638,Gary Ramage,Steven Kennedy
639,Gary Ramage,Jenny Wilkinson
640,Gary Ramage,Karen Barlow
641,Jim Chalmer,Michele Bullock
642,Jim Chalmer,Minster Anthony Albanese
643,Jim Chalmer,Steven Kennedy
644,Jim Chalmer,Jenny Wilkinson
645,Jim Chalmer,Karen Barlow
646,Michele Bullock,Minster Anthony Albanese
647,Michele Bullock,Steven Kennedy
648,Michele Bullock,Jenny Wilkinson
649,Michele Bullock,Karen Barlow
650,Minster Anthony Albanese,Steven Kennedy
651,Minster Anthony Albanese,Jenny Wilkinson
652,Minster Anthony Albanese,Karen Barlow
653,Steven Kennedy,Jenny Wilkinson
654,Steven Kennedy,Karen Barlow
655,Jenny Wilkinson,Karen Barlow
656,Philip Lowe,Gary Ramage
657,Philip Lowe,Jim Chalmer
658,Philip Lowe,Michele Bullock
659,Philip Lowe,Minster Anthony Albanese
660,Philip Lowe,Steven Kennedy
661,Philip Lowe,Jenny Wilkinson
662,Philip Lowe,Karen Barlow
663,Gary Ramage,Jim Chalmer
664,Gary Ramage,Michele Bullock
665,Gary Ramage,Minster Anthony Albanese
666,Gary Ramage,Steven Kennedy
667,Gary Ramage,Jenny Wilkinson
668,Gary Ramage,Karen Barlow
669,Jim Chalmer,Michele Bullock
670,Jim Chalmer,Minster Anthony Albanese
671,Jim Chalmer,Steven Kennedy
672,Jim Chalmer,Jenny Wilkinson
673,Jim Chalmer,Karen Barlow
674,Michele Bullock,Minster Anthony Albanese
675,Michele Bullock,Steven Kennedy
676,Michele Bullock,Jenny Wilkinson
677,Michele Bullock,Karen Barlow
678,Minster Anthony Albanese,Steven Kennedy
679,Minster Anthony Albanese,Jenny Wilkinson
680,Minster Anthony Albanese,Karen Barlow
681,Steven Kennedy,Jenny Wilkinson
682,Steven Kennedy,Karen Barlow
683,Jenny Wilkinson,Karen Barlow
684,Philip Lowe,Gary Ramage
685,Philip Lowe,Jim Chalmer
686,Philip Lowe,Michele Bullock
687,Philip Lowe,Minster Anthony Albanese
688,Philip Lowe,Steven Kennedy
689,Philip Lowe,Jenny Wilkinson
690,Philip Lowe,Karen Barlow
